ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.7249;1.9116;7.7318;-1.5947;1.3309;9.5842;-1.0883;1.0636;-2.4885;-0.4524;-0.5637;0.0655;678.0;-1.37;-8.03;-48.09;67.13;-16.14;13.71;5.0;981.03;42.782;35.952976;-83.9324;705.14;NaN;;7.52;48.679222;51.1;0 / 14;30;2022-10-14 18:25:33:088
-1.6304;0.8536;8.1903;-1.3063;1.6555;9.5772;-0.0693;-1.6762;0.1467;-0.1433;-0.2165;0.9964;670.0;-12.02;1.91;-46.59;62.34;-9.72;7.77;5.0;980.98;47.839;35.952976;-83.9324;705.14;NaN;;7.52;48.679222;51.1;0 / 14;530;2022-10-14 18:25:33:588
-0.2022;2.4227;7.6421;-0.5434;2.0011;9.5849;0.5439;-0.1402;-0.3342;0.0299;0.0753;0.056;578.0;-13.76;3.49;-45.58;53.75;-11.6;3.02;5.0;981.03;42.312;35.95299;-83.93234;718.88;NaN;;2.84;46.873234;37.6;11 / 14;1030;2022-10-14 18:25:34:088
-1.0211;2.138;8.9719;-1.314;3.013;9.2393;-0.112;-1.076;0.164;0.0476;-0.1359;0.1794;571.0;-13.22;2.1;-44.38;55.81;-15.18;7.92;5.0;981.01;53.023;35.95299;-83.93234;718.88;NaN;;2.84;46.873234;37.6;11 / 14;1530;2022-10-14 18:25:34:588
-1.2341;2.2696;10.2814;-1.14;3.2858;9.1692;0.5571;-0.5263;0.4493;-0.0447;-0.4422;-0.3897;538.0;-11.94;-1.24;-45.41;52.24;-19.58;7.09;5.0;981.05;52.902;35.953003;-83.932304;732.97;NaN;;4.0;39.708607;33.6;11 / 14;2031;2022-10-14 18:25:35:089
-2.2421;1.0989;10.0816;-0.8242;2.5985;9.4201;-0.7091;0.5824;-1.5418;-1.1801;-0.0357;0.4333;522.0;-11.81;-3.15;-45.26;61.25;-15.37;5.0;5.0;981.0;57.201;35.953003;-83.932304;732.97;NaN;;4.0;39.708607;33.6;11 / 14;2530;2022-10-14 18:25:35:588
1.4378;-1.573;9.4639;0.0068;-0.6634;9.7842;0.9454;-0.2402;2.8769;0.2368;0.1266;0.1666;647.0;-12.13;11.14;-43.76;56.25;3.88;-0.04;5.0;981.0;49.86;35.953014;-83.932274;748.63;NaN;;4.07;35.29693;36.9;11 / 14;3030;2022-10-14 18:25:36:088
0.1807;-1.9956;8.5576;0.8435;-2.2026;9.5188;-0.0797;-2.8259;1.2347;-0.2364;-0.4846;-0.0056;737.0;-16.56;20.03;-39.99;40.3;6.84;-6.12;5.0;981.03;48.182;35.953014;-83.932274;748.63;NaN;;4.07;35.29693;36.9;11 / 14;3530;2022-10-14 18:25:36:588
-0.6428;-3.256;13.9816;-0.5636;0.8792;9.7509;0.8131;-3.2517;3.828;0.4203;1.2901;0.2185;812.0;-10.01;23.38;-38.85;26.04;1.06;1.31;5.0;981.01;42.722;35.953026;-83.93222;761.18;NaN;;4.21;30.848831;38.7;11 / 14;4030;2022-10-14 18:25:37:088
-4.6899;-0.3867;11.6725;-1.9292;2.8046;9.1969;0.4843;0.6074;-0.1686;-0.7868;0.2889;-0.4782;817.0;-4.27;7.89;-43.59;33.25;-16.62;11.85;5.0;981.09;41.667;35.953026;-83.93222;761.18;NaN;;4.21;30.848831;38.7;11 / 14;4530;2022-10-14 18:25:37:588
-8.5792;-5.8247;1.6268;-6.2918;1.2757;7.4132;5.0478;1.4739;-2.9972;-0.518;4.3935;-1.9399;800.0;0.49;7.39;-43.63;68.35;-7.47;40.32;5.0;981.03;45.591;35.953037;-83.932175;772.64;NaN;;4.64;29.230661;44.9;11 / 14;5030;2022-10-14 18:25:38:088
-12.07;-8.7506;3.2859;-7.2686;-6.534;0.8028;-2.7487;1.6653;-4.4722;-1.2355;-1.9324;0.4312;225.0;28.43;30.56;-17.29;76.45;41.78;83.7;5.0;981.04;45.778;35.953037;-83.932175;772.64;NaN;;4.64;29.230661;44.9;11 / 14;5530;2022-10-14 18:25:38:588
-23.4168;1.5383;-0.7062;-9.6304;-1.7506;-0.6008;3.358;0.9365;0.7484;1.2613;-0.0321;-1.0E-4;54.0;32.29;12.41;-24.53;76.67;10.28;93.57;5.0;981.02;44.537;35.953045;-83.932144;779.68;NaN;;4.36;25.664473;42.0;11 / 14;6030;2022-10-14 18:25:39:088
