ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.6384;-1.6603;7.6277;-2.593;0.2292;9.4549;1.312;-1.7989;1.9946;0.9914;0.9199;-0.5201;14695.0;-11.04;-14.89;-40.59;123.39;-1.34;15.34;5.0;982.43;56.557;35.9556;-83.929825;810.51;NaN;;3.56;12.948576;60.9;14 / 20;14;2022-10-26 13:30:03:893
-0.5231;3.4199;6.6174;-0.0545;2.5828;9.4603;0.0581;-1.7302;4.3607;0.2756;0.0777;0.0819;20005.0;-13.41;-10.39;-39.45;87.38;-15.27;0.33;5.0;982.34;59.236;35.9556;-83.929825;810.51;NaN;;3.56;12.948576;60.9;14 / 20;514;2022-10-26 13:30:04:393
5.6357;1.6364;4.3992;5.3826;3.3096;7.4996;0.3522;-0.8951;0.4559;-0.1958;-2.1325;0.634;17380.0;-25.48;-20.19;-30.09;153.62;-19.72;-35.67;5.0;982.39;55.396;35.955605;-83.92981;814.15;NaN;;5.47;12.587904;61.0;15 / 20;1014;2022-10-26 13:30:04:893
5.8223;-0.2862;1.0451;8.914;-4.0581;0.4935;0.1768;4.4302;1.106;-0.6991;0.6286;0.6694;2488.0;-39.62;-13.46;3.06;174.28;17.9;-90.76;5.0;982.38;58.457;35.955605;-83.92981;814.15;NaN;;5.47;12.587904;61.0;15 / 20;1515;2022-10-26 13:30:05:394
6.0308;-3.4427;-1.7309;9.6627;0.419;1.6208;2.4289;-6.8152;0.337;2.189;0.8952;-2.3159;2566.0;-35.36;-0.24;26.1;87.65;-2.45;-80.48;5.0;982.39;58.839;35.955627;-83.92979;815.3;NaN;;3.6;14.30738;74.3;15 / 20;2014;2022-10-26 13:30:05:893
8.9228;0.6488;-1.2269;8.5967;-4.2571;-2.0358;2.4866;4.0677;-0.0825;-0.7111;-0.4456;2.0255;2043.0;-36.69;-3.62;27.69;117.37;11.51;-97.28;5.0;982.43;58.158;35.955627;-83.92979;815.3;NaN;;3.6;14.30738;74.3;15 / 20;2514;2022-10-26 13:30:06:393
6.2007;-4.0795;-2.3378;9.6475;1.7339;0.2995;5.2079;-7.1482;0.0722;1.8561;-0.3428;-3.0403;1949.0;-29.32;5.98;35.25;73.19;-10.18;-88.22;5.0;982.42;58.435;35.955635;-83.92976;818.76;NaN;;4.43;14.931562;76.9;17 / 20;3015;2022-10-26 13:30:06:894
11.5983;0.8127;-2.272;8.6206;-3.7508;-2.7906;2.4468;4.4757;0.3285;-0.1565;-0.823;2.5871;2056.0;-35.38;-10.67;34.48;141.28;22.49;-107.94;5.0;982.45;63.629;35.955635;-83.92976;818.76;NaN;;4.43;14.931562;76.9;17 / 20;3515;2022-10-26 13:30:07:394
4.0747;-4.0735;-2.7257;9.385;2.2037;-1.799;3.5149;-7.3637;0.0106;0.9285;-0.8625;-3.2249;2042.0;-31.44;1.58;39.17;72.17;-12.99;-100.85;5.0;982.44;63.528;35.95564;-83.929726;824.57;NaN;;5.47;15.233458;80.5;17 / 20;4015;2022-10-26 13:30:07:894
13.6738;1.1791;-4.3071;7.1927;-5.7522;-3.3687;3.9037;3.8922;-1.0539;-0.5605;0.1957;4.0979;1986.0;-32.87;-6.64;39.04;116.92;8.61;-108.51;5.0;982.45;53.82;35.95564;-83.929726;824.57;NaN;;5.47;15.233458;80.5;17 / 20;4514;2022-10-26 13:30:08:393
