sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.1551;4.1704;7.4444;-0.6281;4.5753;8.6512;-0.1705;-1.0781;0.4141;-0.0878;0.2441;0.1772;18016.0;1.89;-3.0;-40.63;3.38;-27.81;4.15;5.0;979.03;52.828;35.956078;-83.92755;797.45;NaN;;3.71;17.81264;45.5;11 / 15;34;2022-10-13 13:21:28:208
0.8127;3.7756;9.4639;-0.5911;3.5572;9.1196;-0.5142;-0.9777;0.7771;0.6774;-1.2824;-1.5903;21066.0;-2.49;-2.79;-40.48;34.25;-23.83;9.94;5.0;979.0;53.1;35.95609;-83.92755;792.74;NaN;;3.96;15.370852;45.4;11 / 15;535;2022-10-13 13:21:28:709
-0.3221;4.3143;8.8618;-0.529;4.0423;8.9191;-0.4092;-0.6289;5.2575;0.7629;0.3485;1.0067;20862.0;-8.06;-5.42;-38.21;43.24;-24.34;3.39;5.0;978.99;55.62;35.95609;-83.92755;792.74;NaN;;3.96;15.370852;45.4;11 / 15;1035;2022-10-13 13:21:29:209
3.7469;4.9989;2.8681;3.4914;5.0448;7.6505;2.8676;1.0777;3.8593;-1.8826;2.1396;-1.269;19570.0;-12.09;-5.68;-33.24;347.79;-30.96;-24.53;5.0;978.97;55.77;35.956127;-83.927536;791.74;NaN;;4.9;14.103614;37.4;11 / 15;1535;2022-10-13 13:21:29:709
-7.2386;-5.54;11.6234;-4.2024;0.2861;8.856;-0.955;-3.4563;2.1795;-0.2971;1.8825;2.4862;25566.0;1.05;16.22;-33.23;38.12;-1.67;25.39;5.0;979.02;61.945;35.956127;-83.927536;791.74;NaN;;4.9;14.103614;37.4;11 / 15;2035;2022-10-13 13:21:30:209
-2.5391;1.1779;6.4845;-3.7158;0.2508;9.072;-1.9987;-1.8145;2.0547;-0.0412;-0.1697;-0.0172;24190.0;15.02;17.83;-30.13;352.42;-1.47;22.27;5.0;978.98;59.891;35.956154;-83.92752;793.03;NaN;;4.72;12.226105;38.9;11 / 15;2534;2022-10-13 13:21:30:708
-1.4115;0.5662;8.8331;-2.6316;0.6303;9.4259;-3.8531;-2.4199;2.0746;-0.4867;-0.6189;0.2223;24497.0;12.45;17.94;-29.25;356.39;-9.12;19.86;5.0;979.02;56.642;35.956154;-83.92752;793.03;NaN;;4.72;12.226105;38.9;11 / 15;3034;2022-10-13 13:21:31:208
-0.5518;2.5427;8.013;0.5548;3.26;9.2323;0.4753;-0.2163;-0.0305;-0.3228;0.4538;-0.192;23994.0;-0.92;13.26;-33.43;357.58;-19.42;-3.44;5.0;979.0;58.731;35.956158;-83.92751;788.73;NaN;;4.93;12.226105;38.2;11 / 15;3535;2022-10-13 13:21:31:709
-0.8788;2.6731;8.4535;-0.5154;3.213;9.251;-1.1051;-2.1727;5.0808;0.1717;0.2295;0.5882;22726.0;-4.78;5.78;-37.44;21.74;-19.13;3.19;5.0;979.03;57.708;35.956158;-83.92751;788.73;NaN;;4.93;12.226105;38.2;11 / 15;4035;2022-10-13 13:21:32:209
-3.1807;3.5348;8.4452;-1.2313;3.6875;9.0031;0.4427;-0.5843;2.4347;1.1795;1.1679;0.2539;23401.0;-1.26;7.78;-38.81;9.96;-19.23;3.79;5.0;979.02;57.879;35.95617;-83.927505;786.26;NaN;;4.61;12.226105;35.7;11 / 15;4535;2022-10-13 13:21:32:709
-3.711;4.9905;4.9905;-2.3527;4.0548;8.6136;-2.0985;-0.9125;2.5657;0.7433;-0.76;0.3789;24846.0;1.89;4.56;-38.66;22.32;-24.42;15.28;5.0;979.04;58.557;35.95617;-83.927505;786.26;NaN;;4.61;12.226105;35.7;11 / 15;5035;2022-10-13 13:21:33:209
-0.7181;2.3809;11.9166;0.0809;3.7728;9.0515;0.6221;-0.8354;2.7532;-0.1834;0.0602;-0.1193;23532.0;3.38;8.18;-39.04;353.41;-21.81;0.68;5.0;978.99;58.683;35.956177;-83.9275;781.07;NaN;;4.61;12.226105;34.3;11 / 15;5535;2022-10-13 13:21:33:709
-0.5243;1.7824;8.2442;0.0717;3.8005;9.04;-0.2102;0.0696;-0.7096;-1.018;-1.134;-0.6715;28351.002;0.53;6.94;-39.82;356.57;-22.8;-0.45;5.0;979.07;61.889;35.956177;-83.9275;781.07;NaN;;4.61;12.226105;34.3;11 / 15;6035;2022-10-13 13:21:34:209
-6.7944;1.6783;7.8383;-5.9789;3.7956;6.7836;2.6832;0.5677;2.1682;3.1217;6.3733;-2.3411;22916.0;-4.05;8.98;-37.28;5.66;-15.46;-3.33;5.0;979.04;62.782;35.956177;-83.9275;781.07;NaN;;4.61;12.226105;34.3;11 / 15;6535;2022-10-13 13:21:34:709
