time,seconds_elapsed,z,y,x
1667581571396870000,0.073869873046875,-0.08320776373147964,0.13791199028491974,-0.37280353903770447
1667581571406892000,0.08389208984375,-0.06507403403520584,0.10436362028121948,-0.3324771821498871
1667581571416914000,0.093913818359375,-0.05623956769704819,0.02565540000796318,-0.25282832980155945
1667581571426935000,0.10393505859375,-0.05919860675930977,-0.11327292770147324,-0.15887653827667236
1667581571436957200,0.113957275390625,-0.06690355390310287,-0.2598739266395569,-0.06375075876712799
1667581571446979000,0.12397900390625,-0.07521554082632065,-0.35241425037384033,0.02525261417031288
1667581571457000000,0.134,-0.057860713452100754,-0.378011018037796,0.07907520234584808
1667581571467021800,0.144021728515625,-0.006351981312036514,-0.3779551088809967,0.08323478698730469
1667581571477044200,0.154044189453125,0.06901959329843521,-0.39575883746147156,0.0676228255033493
1667581571487065000,0.164065185546875,0.13903756439685822,-0.40638911724090576,0.07544665783643723
1667581571497087000,0.1740869140625,0.18810591101646423,-0.3765315115451813,0.11171192675828934
1667581571507108900,0.18410888671875,0.2214934378862381,-0.3369137942790985,0.15447483956813812
1667581571517130000,0.1941298828125,0.24445277452468872,-0.31499341130256653,0.17149598896503448
1667581571527152000,0.204152099609375,0.2622200548648834,-0.3149643838405609,0.17064696550369263
1667581571537174000,0.214174072265625,0.27072882652282715,-0.3177107274532318,0.16184423863887787
1667581571547195000,0.22419482421875,0.2552574574947357,-0.3218657970428467,0.14304471015930176
1667581571557217000,0.234217041015625,0.22954511642456055,-0.3290998339653015,0.115468829870224
1667581571567239200,0.2442392578125,0.2004908323287964,-0.3354261517524719,0.0724707618355751
1667581571577260000,0.254260009765625,0.17519289255142212,-0.34421297907829285,0.016484232619404793
1667581571587282000,0.264281982421875,0.17630663514137268,-0.340022474527359,-0.018338995054364204
1667581571597304000,0.274303955078125,0.22151802480220795,-0.2724229097366333,-0.005734480917453766
1667581571607325200,0.2843251953125,0.30362221598625183,-0.13600699603557587,0.06725876778364182
1667581571617347000,0.29434716796875,0.4162216782569885,0.04511076211929321,0.18044914305210114
1667581571627369000,0.304368896484375,0.5535174608230591,0.23008860647678375,0.30423659086227417
1667581571637389800,0.314389892578125,0.6934427618980408,0.36014193296432495,0.4110881984233856
1667581571647412000,0.324411865234375,0.8100239634513855,0.4163612723350525,0.4802451729774475
1667581571657433000,0.33443310546875,0.8905684351921082,0.38231387734413147,0.49487006664276123
1667581571667455000,0.344455078125,0.9294561743736267,0.29104122519493103,0.4582982063293457
1667581571677477000,0.35447705078125,0.93971186876297,0.15336832404136658,0.3976065516471863
1667581571687498000,0.364498046875,0.9330478310585022,0.00020832731388509274,0.3415651321411133
1667581571697520000,0.37452001953125,0.9120857119560242,-0.14470534026622772,0.3031572997570038
1667581571707542000,0.3845419921875,0.8999782204627991,-0.2860046625137329,0.2797646224498749
1667581571717563000,0.39456298828125,0.8914296627044678,-0.3864855170249939,0.2795279920101166
1667581571727585000,0.4045849609375,0.8917430639266968,-0.43198004364967346,0.2969871461391449
1667581571737607000,0.41460693359375,0.8867563009262085,-0.4464918375015259,0.3292844891548157
1667581571747628000,0.4246279296875,0.8733088970184326,-0.41756966710090637,0.36635756492614746
1667581571757650000,0.43464990234375,0.8567087650299072,-0.36839544773101807,0.3967885971069336
1667581571767672000,0.444672119140625,0.840424120426178,-0.3096836507320404,0.4387142062187195
1667581571777693000,0.45469287109375,0.8171243667602539,-0.24191398918628693,0.48813819885253906
1667581571787715000,0.464715087890625,0.7925212979316711,-0.16302555799484253,0.5409843325614929
1667581571797737200,0.4747373046875,0.7788448333740234,-0.08356013149023056,0.5722041726112366
1667581571807758000,0.484758056640625,0.7676126956939697,0.010147718712687492,0.5804351568222046
1667581571817780000,0.494780029296875,0.75544273853302,0.10752210021018982,0.559772253036499
1667581571827802000,0.504802001953125,0.7545047998428345,0.20821115374565125,0.5161257386207581
1667581571837823200,0.5148232421875,0.7849779725074768,0.2852665185928345,0.4684778153896332
1667581571847845000,0.52484521484375,0.8504999876022339,0.32870161533355713,0.433491051197052
1667581571857867300,0.5348671875,0.9222045540809631,0.35488128662109375,0.41031399369239807
1667581571867888000,0.54488818359375,0.9917370080947876,0.38904058933258057,0.4090154469013214
1667581571877910000,0.554909912109375,1.0647825002670288,0.4269002079963684,0.42020633816719055
1667581571887932200,0.56493212890625,1.1340276002883911,0.43270429968833923,0.45658937096595764
1667581571897953000,0.574953125,1.1980385780334473,0.42700108885765076,0.5170014500617981
1667581571907975200,0.58497509765625,1.256191611289978,0.40593838691711426,0.5971176028251648
1667581571917997000,0.5949970703125,1.2963285446166992,0.36756432056427,0.6824989914894104
1667581571928018200,0.60501806640625,1.3312612771987915,0.340817391872406,0.7510133385658264
1667581571938040000,0.6150400390625,1.348339319229126,0.32657140493392944,0.7395091652870178
1667581571948062200,0.625062255859375,1.3307675123214722,0.25589776039123535,0.6501753330230713
1667581571958083000,0.6350830078125,1.32734215259552,0.20023509860038757,0.5307901501655579
1667581571968105000,0.64510498046875,1.356798529624939,0.1949830800294876,0.41876956820487976
1667581571978127400,0.65512744140625,1.4204832315444946,0.21879157423973083,0.30462056398391724
1667581571988148200,0.665148193359375,1.5027596950531006,0.21122179925441742,0.19863338768482208
1667581571998170000,0.675170166015625,1.6015294790267944,0.25668781995773315,0.12499096989631653
1667581572008191200,0.685191162109375,1.7155159711837769,0.29345276951789856,0.09601417928934097
1667581572018213000,0.695213134765625,1.7948739528656006,0.3474024832248688,0.11493673175573349
1667581572028235300,0.7052353515625,1.8750170469284058,0.43603992462158203,0.15623730421066284
