time,seconds_elapsed,z,y,x
1667581637813185000,66.49018505859375,0.049918558448553085,-0.012635634280741215,-0.1631505787372589
1667581637823206000,66.50020581054687,0.07896246016025543,-0.0018165421206504107,-0.11445893347263336
1667581637833226500,66.5102265625,0.11116167157888412,-0.00794580765068531,-0.03540033474564552
1667581637843248600,66.52024853515626,0.133164182305336,-0.00794287770986557,0.06923872232437134
1667581637853269500,66.53026953125,0.16002881526947021,-0.0062879896722733974,0.18057803809642792
1667581637863290600,66.54029052734376,0.1691642552614212,0.022233400493860245,0.2844066917896271
1667581637873312500,66.5503125,0.17543093860149384,0.06625838577747345,0.3516017198562622
1667581637883333400,66.56033349609375,0.17286577820777893,0.10752219706773758,0.38578444719314575
1667581637893354500,66.5703544921875,0.15693235397338867,0.13512319326400757,0.3898271322250366
1667581637903376600,66.58037670898437,0.1331428736448288,0.14897003769874573,0.36756017804145813
1667581637913397500,66.5903974609375,0.10759276896715164,0.14989762008190155,0.3344091475009918
1667581637923418600,66.60041870117188,0.0761972963809967,0.12554354965686798,0.3043100833892822
1667581637933440500,66.6104404296875,0.04355733096599579,0.07371044158935547,0.28361546993255615
1667581637943461400,66.62046142578124,0.004878644831478596,0.02863670513033867,0.2612409293651581
1667581637953482500,66.630482421875,-0.03851170465350151,-0.0046512107364833355,0.24231064319610596
1667581637963504600,66.64050463867187,-0.06939452141523361,-0.003144660498946905,0.19746513664722443
1667581637973525500,66.650525390625,-0.08746033906936646,0.03214781731367111,0.12194987386465073
1667581637983546400,66.66054638671875,-0.1034100130200386,0.0685119479894638,0.05507683381438255
1667581637993568500,66.67056860351562,-0.11958418786525726,0.09288493543863297,0.026142122223973274
1667581638003589400,66.68058935546875,-0.1311526894569397,0.10502921044826508,0.034203242510557175
1667581638013610500,66.69061059570312,-0.12803812325000763,0.10090664029121399,0.060027383267879486
1667581638023632600,66.70063256835938,-0.11766165494918823,0.10839544981718063,0.09258425980806351
1667581638033653500,66.71065356445312,-0.09222819656133652,0.11061066389083862,0.11955036222934723
1667581638043674400,66.72067431640625,-0.07045286148786545,0.10411122441291809,0.14766855537891388
1667581638053696500,66.73069653320313,-0.05958876013755798,0.08395428955554962,0.17404237389564514
1667581638063717600,66.74071752929687,-0.055382031947374344,0.0603935681283474,0.1834752857685089
1667581638073738500,66.75073852539063,-0.058695003390312195,0.055439822375774384,0.18296076357364655
1667581638083760400,66.76076049804688,-0.06456434726715088,0.05357108265161514,0.17022605240345
1667581638093781500,66.77078149414062,-0.058577824383974075,0.04063398018479347,0.15422073006629944
1667581638103802400,66.78080224609376,-0.047139283269643784,0.0336756706237793,0.14183570444583893
1667581638113824500,66.79082446289063,-0.03568689152598381,0.016633572056889534,0.13856586813926697
1667581638123845600,66.800845703125,-0.02267841435968876,-0.01955718919634819,0.15318183600902557
