time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1667581571396870000,0.073869873046875,0.31423022848036314,0.09692370454370143,0.1625846777221026,0.13766558932269557,0.9782736299223599,0.08457429857238248,0.21888030466942124
1667581571406892000,0.08389208984375,0.3139751214514907,0.09504273219031115,0.16242956989986068,0.13896713525882148,0.9784530702539064,0.08492972919890512,0.21523796147798385
1667581571416914000,0.093913818359375,0.3137820260400697,0.09351745293760752,0.16229189535914332,0.13969980680288097,0.9786117799055458,0.08505714987027974,0.21223239945798716
1667581571426935000,0.10393505859375,0.3134865049901732,0.09250661080450699,0.1620762720564906,0.1393709432530704,0.9787724311051131,0.08472441102380869,0.21009158719797655
1667581571436957200,0.113957275390625,0.3130132736083789,0.09208933196591801,0.16173099475752575,0.13757329055925915,0.9789540320813253,0.08373506743879228,0.20890369763611402
1667581571446979000,0.12397900390625,0.31231504154161566,0.09222053885870553,0.16124589615722545,0.13461654450493382,0.9791489393111055,0.08223496370809426,0.20862548629162114
1667581571457000000,0.134,0.31154630489906615,0.0927543949824597,0.16071719886887045,0.13108646555194678,0.97932918331373,0.08050381735531777,0.20907064069459294
1667581571467021800,0.144021728515625,0.31108363838457914,0.09345378709210864,0.16033831327923467,0.12741503584216887,0.9794680814901531,0.0787423042717118,0.20985779781261957
1667581571477044200,0.154044189453125,0.3112935835958207,0.09414390483927113,0.16027576471226593,0.12350928341441204,0.9795588046997397,0.07689709808325773,0.21064272757856348
1667581571487065000,0.164065185546875,0.31228269241327633,0.09484143384139813,0.16057679809214395,0.11925929956697433,0.9795952928778067,0.07492159058127093,0.21144586545214858
1667581571497087000,0.1740869140625,0.31385616743141986,0.09566963782510804,0.16116625891042136,0.11497882349730724,0.9795643595471852,0.0729820900621541,0.21255044770834952
1667581571507108900,0.18410888671875,0.31579307424422015,0.09668618433747381,0.1619541316736297,0.11100691558505706,0.9794623127786451,0.0712467301240278,0.21411052922952614
1667581571517130000,0.1941298828125,0.3179889070864741,0.09784196892941029,0.16288357288272906,0.10729296772901896,0.9793063408744618,0.06967803557288631,0.2160092530924677
1667581571527152000,0.204152099609375,0.32039004999112647,0.09904019530710785,0.16391355193922041,0.10363171487139075,0.9791211587273462,0.06815589924589098,0.21801091803856623
1667581571537174000,0.214174072265625,0.32293739718777914,0.10021787575709096,0.16500694034763946,0.0999132088010376,0.9789238750740044,0.06661242009905272,0.2199638721225717
1667581571547195000,0.22419482421875,0.3254754347748173,0.10132175693208502,0.16608669575492116,0.09615255831586654,0.9787333949646545,0.06503818136042244,0.22175083954769462
1667581571557217000,0.234217041015625,0.3278288271587679,0.102309882581751,0.16706724466877867,0.09237055909493955,0.9785694886333801,0.06342668890380916,0.2232782733303279
1667581571567239200,0.2442392578125,0.32994249209584126,0.10312263793374563,0.167920833128678,0.08856524612733868,0.9784444160646317,0.061763520307104205,0.22442139296231037
1667581571577260000,0.254260009765625,0.33181547629263775,0.1036889543141712,0.16864679136151123,0.08474182217182381,0.9783671653007673,0.060038767204014014,0.2250369980941925
1667581571587282000,0.264281982421875,0.33359637956642363,0.10401706542258178,0.16931969205398661,0.0808991311815317,0.9783235568880203,0.058260657964539664,0.22515150338070836
1667581571597304000,0.274303955078125,0.33562459135465966,0.10425617182891779,0.17012604430091832,0.07733394997009145,0.9782544422806561,0.056621522387400376,0.22514090954019328
1667581571607325200,0.2843251953125,0.3382687903858749,0.10464091710299021,0.17128473113866716,0.07467435543197559,0.9780755774640787,0.055497262161469066,0.22561428161653202
1667581571617347000,0.29434716796875,0.3418540925154373,0.10538015444261645,0.17298393775105717,0.07340603536279926,0.9777145943972745,0.05518742100529898,0.22710366245452882
1667581571627369000,0.304368896484375,0.34663791535725824,0.10657937266805896,0.17536074937398888,0.07370870175591195,0.9771251453986967,0.055819066051500846,0.22987900852535006
1667581571637389800,0.314389892578125,0.352762723621673,0.10824404812505502,0.17847068342430517,0.07530735696588994,0.9762949458949414,0.05726949477821561,0.2339257069576947
1667581571647412000,0.324411865234375,0.3601625609247496,0.11031032800137948,0.18224327219961345,0.07751425642316623,0.9752518076131165,0.05918580547993939,0.23900201067089435
1667581571657433000,0.33443310546875,0.3685345668658344,0.11259914380503915,0.18648404498124946,0.07957266348441044,0.9740669946172308,0.06114500483140621,0.24459495421520192
1667581571667455000,0.344455078125,0.37754466468654374,0.11489678435175177,0.19098243982747942,0.08077190232649038,0.9728250913666372,0.06273489031222555,0.2501109662382496
1667581571677477000,0.35447705078125,0.38684053896636955,0.11706352429050847,0.19553563249947387,0.08069685625449628,0.9715989347511554,0.0636990390604706,0.2551478292142975
1667581571687498000,0.364498046875,0.3962019801235647,0.11908580777725174,0.20001717625130128,0.07909726972639207,0.9704274507235006,0.06389235969677003,0.25959320959153853
1667581571697520000,0.37452001953125,0.4054819222908689,0.12102098602089638,0.20435252646231,0.07596683852587034,0.9693223701388867,0.0633099639047591,0.2635315541103381
1667581571707542000,0.3845419921875,0.4146428333850372,0.12293390396088927,0.20852665491739594,0.071389712384674,0.9682766031822608,0.06200188880741744,0.267090415579539
1667581571717563000,0.39456298828125,0.42372260735675177,0.12491363640524271,0.21256845050966505,0.0655666908630731,0.9672644603148911,0.06008852327405287,0.2704809078102633
1667581571727585000,0.4045849609375,0.4327969001610354,0.12701988952333476,0.2165429310575253,0.058991433518165326,0.9662452262179576,0.057837076437791145,0.2739260083133861
1667581571737607000,0.41460693359375,0.44187927047948755,0.1292648430308804,0.22048184240064672,0.052104302684790285,0.9651947322435217,0.055475216868950385,0.27754356522150714
