time,seconds_elapsed,MAGNETIC FIELD Z (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD X (μT)
1667581571396870000,0.073869873046875,-37.53194808959961,-14.664779663085938,27.436500549316406
1667581571406892000,0.08389208984375,-37.6340217590332,-14.441182136535645,27.441200256347656
1667581571416914000,0.093913818359375,-37.50707244873047,-14.47368049621582,27.51905059814453
1667581571426935000,0.10393505859375,-37.43085861206055,-14.237669944763184,27.507186889648438
1667581571436957200,0.113957275390625,-37.6996955871582,-14.364694595336914,27.3800048828125
1667581571446979000,0.12397900390625,-37.747684478759766,-14.390399932861328,27.28820037841797
1667581571457000000,0.134,-37.910945892333984,-14.37913703918457,27.163040161132812
1667581571467021800,0.144021728515625,-37.778751373291016,-14.316963195800781,27.06647491455078
1667581571477044200,0.154044189453125,-37.9878044128418,-14.38226318359375,26.865234375
1667581571487065000,0.164065185546875,-38.23579025268555,-14.51431941986084,26.61644744873047
1667581571497087000,0.1740869140625,-38.26901626586914,-14.601211547851562,26.637741088867188
1667581571507108900,0.18410888671875,-38.49905014038086,-14.79830551147461,26.372840881347656
1667581571517130000,0.1941298828125,-38.456451416015625,-14.945329666137695,26.326019287109375
1667581571527152000,0.204152099609375,-38.456451416015625,-14.945329666137695,26.326019287109375
1667581571537174000,0.214174072265625,-38.51645278930664,-15.037595748901367,26.141090393066406
1667581571547195000,0.22419482421875,-38.55049133300781,-15.143203735351562,26.047996520996094
1667581571557217000,0.234217041015625,-38.464881896972656,-15.310998916625977,25.759033203125
1667581571567239200,0.2442392578125,-38.57563400268555,-15.383817672729492,25.676422119140625
1667581571577260000,0.254260009765625,-38.78335189819336,-15.504261016845703,25.628395080566406
1667581571587282000,0.264281982421875,-38.72718811035156,-15.514557838439941,25.392929077148438
1667581571597304000,0.274303955078125,-38.960174560546875,-15.568596839904785,25.223281860351562
1667581571607325200,0.2843251953125,-39.04735565185547,-15.737150192260742,25.094017028808594
1667581571617347000,0.29434716796875,-38.70125198364258,-15.76491641998291,25.04766082763672
1667581571627369000,0.304368896484375,-38.7069206237793,-15.928709983825684,24.83135223388672
1667581571637389800,0.314389892578125,-38.83997344970703,-16.062108993530273,24.754539489746094
1667581571647412000,0.324411865234375,-38.65523147583008,-16.406400680541992,24.821998596191406
1667581571657433000,0.33443310546875,-38.4691276550293,-16.723146438598633,24.899444580078125
1667581571667455000,0.344455078125,-38.271141052246094,-17.188030242919922,24.898056030273438
1667581571677477000,0.35447705078125,-38.18558120727539,-17.544597625732422,24.900421142578125
