time,seconds_elapsed,MAGNETIC FIELD Z (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD X (μT)
1667857268065450800,0.05345068359375,-42.83061981201172,10.226160049438477,-5.8179779052734375
1667857268075470600,0.063470703125,-42.68480682373047,10.333702087402344,-5.855445861816406
1667857268085491700,0.07349169921875,-42.700923919677734,10.394241333007812,-5.893058776855469
1667857268095511600,0.083511474609375,-42.60880661010742,10.29891586303711,-5.8254852294921875
1667857268105532700,0.09353271484375,-42.64051055908203,10.288213729858398,-5.824462890625
1667857268115552800,0.103552734375,-42.625091552734375,10.4188232421875,-5.769645690917969
1667857268125573600,0.11357373046875,-42.61810302734375,10.441631317138672,-5.89666748046875
1667857268135593700,0.12359375,-42.56978988647461,10.449247360229492,-5.9335174560546875
1667857268145614600,0.133614501953125,-42.625606536865234,10.442747116088867,-5.884086608886719
1667857268155634700,0.143634765625,-42.895103454589844,10.596548080444336,-6.138275146484375
1667857268165655600,0.153655517578125,-42.851314544677734,10.622234344482422,-6.050872802734375
1667857268175675600,0.163675537109375,-42.69420623779297,10.705497741699219,-6.114128112792969
1667857268185696500,0.173696533203125,-42.72374725341797,10.716018676757812,-6.023048400878906
1667857268195716600,0.183716552734375,-42.603973388671875,10.831491470336914,-5.99395751953125
1667857268205737500,0.193737548828125,-42.52111053466797,10.855581283569336,-6.084831237792969
1667857268215757600,0.203757568359375,-42.69853210449219,10.808719635009766,-6.1414642333984375
1667857268225778700,0.21377880859375,-42.632164001464844,10.898700714111328,-6.0767669677734375
1667857268235798500,0.223798583984375,-42.528587341308594,10.879402160644531,-6.123931884765625
1667857268245819600,0.233819580078125,-42.68693923950195,11.077766418457031,-6.1713104248046875
1667857268255839500,0.243839599609375,-42.715484619140625,11.133905410766602,-6.340850830078125
1667857268265860600,0.253860595703125,-42.57612991333008,11.24748420715332,-6.428718566894531
1667857268275880400,0.26388037109375,-42.585899353027344,11.309871673583984,-6.497138977050781
1667857268285901600,0.273901611328125,-42.57689666748047,11.23416519165039,-6.373710632324219
1667857268295921700,0.283921630859375,-42.36049270629883,11.371707916259766,-6.194427490234375
1667857268305942500,0.293942626953125,-42.627037048339844,11.242376327514648,-6.0968475341796875
1667857268315962600,0.303962646484375,-42.5755729675293,11.250160217285156,-5.929420471191406
1667857268325983500,0.3139833984375,-42.424869537353516,11.420633316040039,-6.018363952636719
1667857268336004600,0.324004638671875,-42.544715881347656,11.503318786621094,-5.970191955566406
1667857268346024400,0.3340244140625,-42.423431396484375,11.683408737182617,-5.9153289794921875
1667857268356045800,0.3440458984375,-42.1436767578125,12.047430038452148,-6.04888916015625
1667857268366065400,0.3540654296875,-42.05183029174805,12.432273864746094,-6.200714111328125
1667857268376086800,0.364086669921875,-42.171546936035156,12.70718002319336,-6.2659454345703125
1667857268386106600,0.374106689453125,-42.039939880371094,13.081823348999023,-6.4200286865234375
1667857268396127700,0.384127685546875,-41.722801208496094,13.420621871948242,-6.593109130859375
1667857268406147800,0.39414794921875,-41.782005310058594,13.718339920043945,-6.6982879638671875
1667857268416168700,0.404168701171875,-41.63512420654297,14.033575057983398,-6.7626190185546875
1667857268426188800,0.414188720703125,-41.388710021972656,14.34874153137207,-6.788909912109375
1667857268436209700,0.424209716796875,-41.298057556152344,14.636270523071289,-6.668281555175781
1667857268446229800,0.434229736328125,-41.233245849609375,15.105569839477539,-6.644432067871094
1667857268456250600,0.444250732421875,-41.156211853027344,15.36689567565918,-6.5569610595703125
1667857268466270700,0.454270751953125,-41.062232971191406,15.666524887084961,-6.472084045410156
1667857268476291600,0.46429150390625,-40.74042510986328,16.156511306762695,-6.48602294921875
1667857268486311700,0.474311767578125,-40.62049865722656,16.395856857299805,-6.246315002441406
1667857268496332500,0.48433251953125,-40.464942932128906,16.548906326293945,-6.162239074707031
1667857268506352600,0.4943525390625,-40.593345642089844,16.81690788269043,-6.047981262207031
1667857268516373800,0.504373779296875,-40.484397888183594,16.93079948425293,-5.957344055175781
1667857268526393600,0.5143935546875,-40.484397888183594,16.93079948425293,-5.957344055175781
1667857268536414700,0.524414794921875,-40.60560607910156,17.29258155822754,-5.95062255859375
1667857268546434600,0.5344345703125,-40.646419525146484,17.359865188598633,-5.912261962890625
1667857268556455700,0.54445556640625,-40.566036224365234,17.35820960998535,-5.872138977050781
1667857268566475500,0.5544755859375,-40.246604919433594,17.563013076782227,-6.010780334472656
1667857268576496600,0.56449658203125,-40.17201232910156,17.7785587310791,-5.9246978759765625
1667857268586516700,0.574516845703125,-40.03388214111328,17.97273063659668,-5.91314697265625
1667857268596537600,0.58453759765625,-39.89417266845703,18.27375602722168,-5.841850280761719
1667857268606557700,0.5945576171875,-39.7506103515625,18.5374813079834,-5.7653045654296875
1667857268616578600,0.60457861328125,-39.665496826171875,18.851896286010742,-5.480033874511719
1667857268626598700,0.6145986328125,-39.330726623535156,19.3143367767334,-5.125053405761719
1667857268636619500,0.62461962890625,-39.26665496826172,19.823305130004883,-4.695030212402344
1667857268646640600,0.634640625,-39.09247589111328,20.247480392456055,-3.9905242919921875
1667857268656660500,0.644660400390625,-38.77508544921875,20.441930770874023,-3.4946517944335938
1667857268666681600,0.654681640625,-38.722862243652344,20.641267776489258,-3.0188140869140625
1667857268676701400,0.664701416015625,-38.69660186767578,20.84299659729004,-2.5125045776367188
1667857268686722600,0.67472265625,-38.52517318725586,21.057371139526367,-2.1563262939453125
1667857268696742700,0.68474267578125,-38.555076599121094,21.093889236450195,-1.9215850830078125
1667857268706763500,0.694763427734375,-38.66436004638672,21.089887619018555,-1.8414230346679688
1667857268716783600,0.70478369140625,-38.51263427734375,21.2936954498291,-2.0417327880859375
1667857268726804500,0.714804443359375,-38.374603271484375,21.094736099243164,-1.89337158203125
1667857268736824600,0.724824462890625,-38.500606536865234,21.1608943939209,-1.9234085083007812
1667857268746845700,0.734845703125,-38.483951568603516,21.16105842590332,-1.8504791259765625
1667857268756865500,0.744865478515625,-38.53300476074219,21.238882064819336,-1.8888092041015625
1667857268766886700,0.75488671875,-38.634033203125,21.28766441345215,-1.7523651123046875
1667857268776906800,0.76490673828125,-38.48809814453125,21.550806045532227,-1.7894210815429688
1667857268786927600,0.774927734375,-38.24962615966797,21.727651596069336,-1.898895263671875
1667857268796947700,0.78494775390625,-38.22666549682617,22.140932083129883,-2.2099533081054688
1667857268806968600,0.794968505859375,-38.22666549682617,22.140932083129883,-2.2099533081054688
1667857268816988700,0.80498876953125,-37.526222229003906,22.71088981628418,-2.406707763671875
1667857268827009800,0.815009765625,-37.710960388183594,22.765268325805664,-2.4610977172851562
1667857268837029600,0.825029541015625,-37.33668899536133,22.95857810974121,-2.6057968139648438
1667857268847050800,0.83505078125,-37.19063186645508,23.209592819213867,-2.4755020141601562
1667857268857070600,0.845070556640625,-37.335758209228516,23.205537796020508,-2.3018798828125
1667857268867091700,0.855091796875,-37.10053634643555,23.50483512878418,-2.2781524658203125
1667857268877111600,0.865111572265625,-37.02870178222656,23.711774826049805,-1.9864959716796875
1667857268887132700,0.875132568359375,-36.71726989746094,24.111284255981445,-1.914825439453125
1667857268897152800,0.88515283203125,-36.44809341430664,24.47560691833496,-1.9198989868164062
1667857268907173600,0.895173583984375,-36.43489456176758,24.772993087768555,-1.93505859375
1667857268917193700,0.90519384765625,-36.09242630004883,25.15009117126465,-1.966094970703125
1667857268927214600,0.915214599609375,-35.65805435180664,25.37331199645996,-2.0044784545898438
1667857268937234700,0.925234619140625,-35.664852142333984,25.700716018676758,-2.1387557983398438
1667857268947255600,0.935255615234375,-35.488189697265625,25.848684310913086,-2.273101806640625
1667857268957276700,0.945276611328125,-35.38001251220703,25.898637771606445,-2.3332977294921875
1667857268967296500,0.955296630859375,-35.47428894042969,26.099092483520508,-2.520843505859375
1667857268977317600,0.965317626953125,-35.28311538696289,26.200220108032227,-2.5682449340820312
1667857268987337500,0.97533740234375,-35.09431076049805,26.437562942504883,-2.7510757446289062
1667857268997358600,0.985358642578125,-35.043827056884766,26.29704475402832,-2.6892013549804688
1667857269007378700,0.995378662109375,-35.27133560180664,26.217187881469727,-2.8094940185546875
1667857269017399600,1.005399658203125,-35.15910720825195,26.244508743286133,-2.8782577514648438
1667857269027419600,1.015419677734375,-35.04301452636719,26.329633712768555,-2.8347549438476562
1667857269037440500,1.0254404296875,-34.922916412353516,26.437795639038086,-2.8177719116210938
1667857269047460600,1.035460693359375,-34.93693161010742,26.49510383605957,-2.8824691772460938
1667857269057481000,1.04548095703125,-35.081199645996094,26.566957473754883,-3.1082305908203125
1667857269067501000,1.0555009765625,-35.17335891723633,26.564382553100586,-3.1812667846679688
1667857269077522000,1.06552197265625,-35.230587005615234,26.574621200561523,-3.1751785278320312
1667857269087542000,1.0755419921875,-35.32493591308594,26.46158790588379,-3.2129135131835938
1667857269097563100,1.085563232421875,-35.37910079956055,26.300268173217773,-3.2163772583007812
1667857269107583000,1.0955830078125,-35.43675994873047,26.148534774780273,-3.3241195678710938
1667857269117604000,1.10560400390625,-35.50606918334961,25.99983787536621,-3.3081283569335938
1667857269127624000,1.1156240234375,-35.58565902709961,25.94268226623535,-3.52117919921875
1667857269137645000,1.12564501953125,-35.65132141113281,25.893796920776367,-3.5458908081054688
1667857269147665000,1.135664794921875,-35.61308288574219,25.740747451782227,-3.3311004638671875
1667857269157686000,1.14568603515625,-35.532894134521484,25.79707145690918,-3.4373321533203125
1667857269167706000,1.1557060546875,-35.65754699707031,25.764253616333008,-3.5977783203125
1667857269177727000,1.16572705078125,-35.76911926269531,25.586706161499023,-3.5380172729492188
1667857269187747000,1.1757470703125,-35.829505920410156,25.375646591186523,-3.4104995727539062
1667857269197768000,1.185767822265625,-35.875980377197266,25.3393497467041,-3.5897598266601562
1667857269207788000,1.1957880859375,-35.98953628540039,25.170137405395508,-3.5462570190429688
1667857269217809000,1.205808837890625,-35.98170852661133,25.116498947143555,-3.6742172241210938
1667857269227829000,1.2158291015625,-36.12485885620117,25.020193099975586,-3.6104049682617188
1667857269237849900,1.225849853515625,-36.14360427856445,24.902986526489258,-3.658721923828125
1667857269247870000,1.235869873046875,-36.27200698852539,24.605867385864258,-3.5152359008789062
1667857269257890800,1.245890869140625,-36.30024337768555,24.55061149597168,-3.4517288208007812
1667857269267912000,1.255911865234375,-36.39781188964844,24.414331436157227,-3.4402236938476562
1667857269277932000,1.26593212890625,-36.54264450073242,24.220502853393555,-3.5510787963867188
1667857269287953000,1.275952880859375,-36.64042282104492,24.178197860717773,-3.630462646484375
1667857269297973000,1.285972900390625,-36.64042282104492,24.178197860717773,-3.630462646484375
1667857269307993900,1.295993896484375,-36.887760162353516,23.978239059448242,-3.516082763671875
1667857269318014000,1.306013916015625,-36.81720733642578,23.819459915161133,-3.6280746459960938
1667857269328034800,1.316034912109375,-37.03071975708008,23.71858787536621,-3.724029541015625
1667857269338055000,1.326054931640625,-37.252037048339844,23.479570388793945,-3.66119384765625
1667857269348076000,1.336075927734375,-37.159671783447266,23.394254684448242,-3.69781494140625
1667857269358096000,1.346095947265625,-37.461158752441406,23.19315528869629,-3.8475189208984375
1667857269368117000,1.356116943359375,-37.3807258605957,22.78431510925293,-3.905120849609375
1667857269378136800,1.36613671875,-37.46427536010742,22.52358055114746,-3.7403793334960938
1667857269388158200,1.376158203125,-37.484004974365234,22.404836654663086,-3.7840652465820312
1667857269398178000,1.386177978515625,-37.8373908996582,22.291006088256836,-3.9819412231445312
1667857269408199200,1.39619921875,-37.8873176574707,21.95952033996582,-3.862457275390625
1667857269418219000,1.406218994140625,-38.02522659301758,21.86358070373535,-3.8552398681640625
1667857269428240100,1.416240234375,-37.983482360839844,21.592477798461914,-3.90814208984375
1667857269438260000,1.426260009765625,-38.068241119384766,21.440141677856445,-3.815032958984375
1667857269448281000,1.436281005859375,-38.1973762512207,21.321256637573242,-3.90234375
1667857269458301200,1.44630126953125,-38.470088958740234,21.212373733520508,-3.8975601196289062
1667857269468322000,1.456322021484375,-38.44280242919922,21.01105308532715,-3.8851776123046875
1667857269478342100,1.466342041015625,-38.69581604003906,20.83622169494629,-3.9249725341796875
1667857269488363000,1.476363037109375,-38.83335876464844,20.821218490600586,-3.9414901733398438
1667857269498383000,1.486383056640625,-39.03699493408203,20.513277053833008,-3.8509445190429688
1667857269508404000,1.496404052734375,-39.01531982421875,20.415307998657227,-4.0557861328125
1667857269518424000,1.506424072265625,-39.137107849121094,20.287893295288086,-3.91400146484375
1667857269528445000,1.51644482421875,-39.15647888183594,20.061464309692383,-3.8818283081054688
1667857269538465000,1.526465087890625,-39.36573791503906,19.933847427368164,-3.8419418334960938
1667857269548486000,1.53648583984375,-39.49049758911133,19.618494033813477,-3.9210052490234375
1667857269558506000,1.546506103515625,-39.59760284423828,19.437055587768555,-3.7588653564453125
1667857269568527000,1.556527099609375,-39.66072463989258,19.395811080932617,-3.7160110473632812
1667857269578547000,1.566546875,-39.911834716796875,19.19788932800293,-3.7881011962890625
1667857269588568000,1.576568115234375,-39.84550857543945,18.986963272094727,-3.8072891235351562
1667857269598588000,1.586587890625,-40.00506591796875,18.842988967895508,-3.91424560546875
