time,seconds_elapsed,GRAVITY Z (m/s²),GRAVITY Y (m/s²),GRAVITY X (m/s²)
1667857268065450800,0.05345068359375,-9.54767640773058,-2.2179294397100806,-0.30503488529110323
1667857268075470600,0.063470703125,-9.54862450223565,-2.2138689122729,-0.3048661228617653
1667857268085491700,0.07349169921875,-9.549573181262613,-2.2095943036936223,-0.3061499886598438
1667857268095511600,0.083511474609375,-9.550615968313812,-2.2051361552409827,-0.3057579936675727
1667857268105532700,0.09353271484375,-9.551855154719949,-2.2000800408951937,-0.3034708873773925
1667857268115552800,0.103552734375,-9.55347369583249,-2.1933925259552893,-0.300918207219895
1667857268125573600,0.11357373046875,-9.55547100712955,-2.1847012699775394,-0.30072631964329627
1667857268135593700,0.12359375,-9.557807925644516,-2.174269600073248,-0.30206618994493034
1667857268145614600,0.133614501953125,-9.560437105104327,-2.1624773093402383,-0.3035138680025935
1667857268155634700,0.143634765625,-9.563274958878756,-2.1496556755594907,-0.30518492475366216
1667857268165655600,0.153655517578125,-9.56612099595964,-2.136624929072708,-0.3074936583537608
1667857268175675600,0.163675537109375,-9.568857727447151,-2.1238924348801373,-0.31052312571015206
1667857268185696500,0.173696533203125,-9.571252513629197,-2.11255767865628,-0.31402324278559535
1667857268195716600,0.183716552734375,-9.57326326892972,-2.102778773572296,-0.3183342378525063
1667857268205737500,0.193737548828125,-9.57482744950652,-2.094571647849679,-0.3253244985986501
1667857268215757600,0.203757568359375,-9.575941548228263,-2.0877729276202617,-0.33604554337095466
1667857268225778700,0.21377880859375,-9.576762801483273,-2.081701206491142,-0.35002372677568344
1667857268235798500,0.223798583984375,-9.57745779801011,-2.0756137032710016,-0.3667682330885902
1667857268245819600,0.233819580078125,-9.578268529871105,-2.0686026554651558,-0.3847634701149538
1667857268255839500,0.243839599609375,-9.579441665303706,-2.060260505186021,-0.400013719282113
1667857268265860600,0.253860595703125,-9.581060206416248,-2.051582985472679,-0.4058005955878645
1667857268275880400,0.26388037109375,-9.58321943027675,-2.0430298227913677,-0.3978864249298349
1667857268285901600,0.273901611328125,-9.585898294097184,-2.034003928031772,-0.37915885504093017
1667857268295921700,0.283921630859375,-9.589082184830307,-2.0234172136962414,-0.35450028766784814
1667857268305942500,0.293942626953125,-9.592895021116734,-2.009672035329789,-0.32857955487184226
1667857268315962600,0.303962646484375,-9.597554829621314,-1.990387196884304,-0.30932270041182636
1667857268325983500,0.3139833984375,-9.603525720724463,-1.9625692156322299,-0.3016696831743233
1667857268336004600,0.324004638671875,-9.611061961448192,-1.924835551173985,-0.30475475317547096
1667857268346024400,0.3340244140625,-9.620191608843207,-1.8769978413306176,-0.3149302380952984
1667857268356045800,0.3440458984375,-9.630671501803398,-1.819385025795549,-0.3322404885321855
1667857268366065400,0.3540654296875,-9.642029931163787,-1.7528997524969279,-0.359139089917019
