time,seconds_elapsed,z,y,x
1667581571396870000,0.073869873046875,-9.482108249276877,-2.12938445642516,1.3136694001898168
1667581571406892000,0.08389208984375,-9.488008997753262,-2.094503404919058,1.3270751174688338
1667581571416914000,0.093913818359375,-9.493224686574935,-2.0656996275000274,1.334896897135675
1667581571426935000,0.10393505859375,-9.498021273201703,-2.0451716571256515,1.3323862294889985
1667581571436957200,0.113957275390625,-9.50280090869367,-2.0337771335385737,1.3156421615675091
1667581571446979000,0.12397900390625,-9.507209372785686,-2.0311080604597924,1.287614921478927
1667581571457000000,0.134,-9.510798337188362,-2.035378723516315,1.253927463671565
1667581571467021800,0.144021728515625,-9.513745496556162,-2.042929431156814,1.218796967449039
1667581571477044200,0.154044189453125,-9.516839370918273,-2.050457342443615,1.1814314787160605
1667581571487065000,0.164065185546875,-9.520136074376106,-2.0581587106011807,1.1407782735493033
1667581571497087000,0.1740869140625,-9.522667638680339,-2.0687484936766327,1.0997557236135005
1667581571507108900,0.18410888671875,-9.523741405391693,-2.0837008558757604,1.0615651822332293
1667581571517130000,0.1941298828125,-9.523667755633593,-2.101892053865641,1.0257616821199655
1667581571527152000,0.204152099609375,-9.523155714458227,-2.1210613031074406,0.9904491803940385
1667581571537174000,0.214174072265625,-9.522633151888847,-2.1397557744443416,0.9546154312729835
1667581571547195000,0.22419482421875,-9.522334461203217,-2.1568542087614535,0.9184289231915026
1667581571557217000,0.234217041015625,-9.522448442971706,-2.1714640411332247,0.8821041026178746
1667581571567239200,0.2442392578125,-9.523257421267033,-2.1823944543398914,0.845641773269698
1667581571577260000,0.254260009765625,-9.525080545040964,-2.188279712986201,0.809110397273302
1667581571587282000,0.264281982421875,-9.52786929897666,-2.189374230224639,0.772482282904163
1667581571597304000,0.274303955078125,-9.530586156719922,-2.189272961807251,0.738510674393177
1667581571607325200,0.2843251953125,-9.531481644254923,-2.193797745755315,0.7130832415394485
1667581571617347000,0.29434716796875,-9.529109654426573,-2.2080309998996555,0.7007532637331635
1667581571627369000,0.304368896484375,-9.522748887223004,-2.2345405289016664,0.7031833404242992
1667581571637389800,0.314389892578125,-9.51251800058782,-2.273162666632235,0.7177198883641511
1667581571647412000,0.324411865234375,-9.499283255961537,-2.321558887141198,0.7378082252122461
1667581571657433000,0.33443310546875,-9.484653257584572,-2.374811315509677,0.7563160879358649
1667581571667455000,0.344455078125,-9.47053822299242,-2.42725841884464,0.7666212819162755
1667581571677477000,0.35447705078125,-9.458289566794038,-2.475085168902576,0.7649153547812253
1667581571687498000,0.364498046875,-9.44843920390904,-2.5172435179352757,0.7489082228321582
1667581571697520000,0.37452001953125,-9.440779044544696,-2.5545517965883016,0.7185689064089208
1667581571707542000,0.3845419921875,-9.43484088666737,-2.588231363350153,0.674697177587077
1667581571717563000,0.39456298828125,-9.429799385368824,-2.62028683604151,0.6191682556539774
1667581571727585000,0.4045849609375,-9.424598894116281,-2.6528277541622516,0.5566164128141478
1667581571737607000,0.41460693359375,-9.418563705605267,-2.6869638325199485,0.49119226594101634
1667581571747628000,0.4246279296875,-9.411144369259477,-2.7238144305333494,0.42612380063775923
1667581571757650000,0.43464990234375,-9.402181895124912,-2.763302683573961,0.36540114598646756
1667581571767672000,0.444672119140625,-9.39168797363937,-2.8054692159131167,0.3097119189251214
1667581571777693000,0.45469287109375,-9.379314229756593,-2.851517558121681,0.2601846850922331
1667581571787715000,0.464715087890625,-9.364943174576759,-2.901857460044324,0.21781919611487535
1667581571797737200,0.4747373046875,-9.34882673703432,-2.9557074159145356,0.183348387643788
1667581571807758000,0.484758056640625,-9.331588601985572,-3.0112060157746074,0.15645592373879624
1667581571817780000,0.494780029296875,-9.314076910692453,-3.065793930530548,0.13878100470798088
1667581571827802000,0.504802001953125,-9.297132790154219,-3.117169020719826,0.13023218027506955
1667581571837823200,0.5148232421875,-9.281281141027808,-3.1640920999363065,0.12931099204323254
1667581571847845000,0.52484521484375,-9.266443637380004,-3.2071807155564427,0.13191753041297197
1667581571857867300,0.5348671875,-9.252381794279813,-3.2473955293059347,0.13505867798291146
1667581571867888000,0.54488818359375,-9.238502322009206,-3.2865462209552523,0.13812139915493316
1667581571877910000,0.554909912109375,-9.224209008240699,-3.3262931249320506,0.14186013815868645
1667581571887932200,0.56493212890625,-9.208931359609961,-3.3682319859951733,0.1448404965431895
1667581571897953000,0.574953125,-9.191769212406873,-3.4147876932039853,0.14485440633753313
1667581571907975200,0.58497509765625,-9.172054458111525,-3.4675594984486695,0.14082874928433448
1667581571917997000,0.5949970703125,-9.149134770295023,-3.5279411941751837,0.13171391586596146
1667581571928018200,0.60501806640625,-9.122997289475798,-3.595511047840118,0.11663491334617138
1667581571938040000,0.6150400390625,-9.09526289485395,-3.6656294169440864,0.09867293013543821
1667581571948062200,0.625062255859375,-9.069124244990943,-3.7303658007487654,0.0757910353123676
1667581571958083000,0.6350830078125,-9.046753423228859,-3.7847692988485098,0.04639942066855728
1667581571968105000,0.64510498046875,-9.028575376981497,-3.828189630641043,0.013092709232022753
1667581571978127400,0.65512744140625,-9.014613487124443,-3.8609140886351465,-0.021647765901254022
1667581571988148200,0.665148193359375,-9.005030250743031,-3.8828330749765034,-0.05849271734186914
1667581571998170000,0.675170166015625,-8.999037732329963,-3.8959126290410753,-0.09782755621932446
1667581572008191200,0.685191162109375,-8.995162936723231,-3.9036519911214707,-0.13758618716653437
1667581572018213000,0.695213134765625,-8.991688538610935,-3.9100305862426756,-0.17770126686859875
1667581572028235300,0.7052353515625,-8.987177198666334,-3.918575419487059,-0.21400190284904091
