time,seconds_elapsed,relativeAltitude,pressure
1667847354733442600,-0.532557373046875,0,994.6238708496094
1667847355735641600,0.4696416015625,0.068695068359375,994.6159362792969
1667847356737883600,1.471883544921875,0.134765625,994.6080780029297
1667847357740100600,2.4741005859375,0.2140350341796875,994.5987701416016
1667847358742319600,3.476319580078125,0.2140350341796875,994.5987701416016
1667847359097829600,3.83182958984375,0.2140350341796875,994.5987701416016
1667847360166931700,4.900931640625,0.2430877685546875,994.5951843261719
1667847361236016400,5.970016357421875,0.2430877685546875,994.5951843261719
1667847362305120800,7.039120849609375,0.221954345703125,994.5977783203125
1667847363374167800,8.108167724609375,0.2008209228515625,994.6002197265625
1667847364443254800,9.1772548828125,0.208740234375,994.5993804931641
1667847365512386600,10.246386474609375,0.208740234375,994.5993804931641
1667847366581454600,11.31545458984375,0.2113800048828125,994.5988464355469
1667847367650549800,12.3845498046875,0.2193145751953125,994.5979309082031
1667847368719661800,13.453661865234375,0.240447998046875,994.5955657958984
1667847369788811800,14.522811767578125,0.2457427978515625,994.5948791503906
1667847370857871600,15.59187158203125,0.2430877685546875,994.5953369140625
1667847371927007700,16.6610078125,0.2430877685546875,994.5953369140625
1667847372996088800,17.7300888671875,0.240447998046875,994.5954132080078
1667847374065102600,18.7991025390625,0.221954345703125,994.5977020263672
1667847375134096600,19.8680966796875,0.221954345703125,994.5977020263672
1667847376203124500,20.93712451171875,0.221954345703125,994.5977020263672
1667847377272112600,22.006112548828124,0.2193145751953125,994.5979309082031
1667847378341132500,23.075132568359376,0.2193145751953125,994.5979309082031
1667847379410183700,24.14418359375,0.22723388671875,994.59716796875
1667847380479212500,25.213212646484376,0.22723388671875,994.59716796875
1667847381548261600,26.28226171875,0.2245941162109375,994.5974731445312
1667847382617306600,27.351306640625,0.2140350341796875,994.5985412597656
1667847383686363600,28.42036376953125,0.2140350341796875,994.5985412597656
1667847384755471600,29.4894716796875,0.2166748046875,994.5984649658203
1667847385824527600,30.558527587890627,0.2166748046875,994.5984649658203
1667847386893596700,31.6275966796875,0.2245941162109375,994.5975494384766
1667847387962634500,32.69663452148438,0.221954345703125,994.5977020263672
1667847389031689700,33.76568969726563,0.221954345703125,994.5977020263672
1667847390100780800,34.83478076171875,0.221954345703125,994.5977020263672
1667847391169889800,35.90388989257813,0.23516845703125,994.5962524414062
1667847392239041500,36.97304150390625,0.240447998046875,994.5954895019531
1667847393308146700,38.042146728515625,0.2510223388671875,994.5941162109375
1667847394377299500,39.111299560546875,0.2457427978515625,994.5949554443359
1667847395446413600,40.18041357421875,0.2510223388671875,994.5941162109375
1667847396515497700,41.249497802734375,0.2457427978515625,994.5949554443359
1667847397584623600,42.31862353515625,0.2325286865234375,994.5963287353516
1667847398653658600,43.38765869140625,0.2325286865234375,994.5963287353516
1667847399722683600,44.45668359375,0.23516845703125,994.5961761474609
1667847400791694600,45.525694580078124,0.23516845703125,994.5961761474609
1667847401860765700,46.594765625,0.229888916015625,994.5967864990234
1667847402929771800,47.66377172851563,0.229888916015625,994.5967864990234
1667847403998797600,48.73279760742187,0.229888916015625,994.5967864990234
1667847405067786800,49.80178686523438,0.221954345703125,994.5977783203125
1667847406136732700,50.87073266601563,0.221954345703125,994.5977783203125
1667847407205694700,51.93969482421875,0.229888916015625,994.5967864990234
1667847408274655500,53.00865551757813,0.2325286865234375,994.5964050292969
1667847409343681500,54.077681640625,0.229888916015625,994.5967864990234
1667847410412606700,55.14660668945312,0.229888916015625,994.5967102050781
1667847411481553700,56.2155537109375,0.229888916015625,994.5968627929688
1667847412550538500,57.28453857421875,0.2193145751953125,994.5981597900391
1667847413619506700,58.35350659179687,0.2193145751953125,994.5981597900391
1667847414688486700,59.422486572265626,0.2166748046875,994.5984649658203
1667847415757427700,60.491427734375,0.2113800048828125,994.5988464355469
1667847416826403600,61.560403564453125,0.2113800048828125,994.5988464355469
1667847417895389400,62.62938940429687,0.2140350341796875,994.5985412597656
1667847418964326700,63.69832666015625,0.2193145751953125,994.5979309082031
1667847420033255700,64.76725561523438,0.2193145751953125,994.5979309082031
1667847421102132500,65.83613256835937,0.23516845703125,994.5960235595703
1667847422170991600,66.90499169921875,0.240447998046875,994.5955657958984
1667847423239863600,67.97386352539063,0.2563018798828125,994.593505859375
1667847424308786700,69.04278662109375,0.2563018798828125,994.593505859375
1667847425377733600,70.11173364257813,0.2430877685546875,994.5953369140625
1667847426446657500,71.18065747070312,0.2378082275390625,994.5957946777344
1667847427515543800,72.24954370117187,0.2325286865234375,994.5965576171875
1667847428584427500,73.31842749023437,0.208740234375,994.5993804931641
1667847429653345500,74.38734545898437,0.208740234375,994.5993804931641
1667847430722200600,75.45620068359375,0.2166748046875,994.5982360839844
1667847431790989600,76.52498950195313,0.229888916015625,994.5966339111328
1667847432859811600,77.5938115234375,0.2430877685546875,994.5951843261719
1667847433928673800,78.662673828125,0.2510223388671875,994.5941925048828
1667847434997497600,79.73149755859374,0.2695159912109375,994.5921325683594
1667847436066412800,80.80041284179687,0.2695159912109375,994.5921325683594
1667847437135338500,81.86933837890625,0.2695159912109375,994.5921325683594
1667847438204288800,82.93828881835938,0.3012237548828125,994.5884704589844
1667847439273226800,84.00722680664063,0.3012237548828125,994.5884704589844
1667847440342175700,85.07617578125,0.2959442138671875,994.5890808105469
1667847441411065600,86.14506567382813,0.2959442138671875,994.5890808105469
1667847442480081700,87.21408154296876,0.303863525390625,994.5879364013672
1667847443549105700,88.28310571289063,0.3065032958984375,994.5876312255859
1667847444618035500,89.35203540039062,0.303863525390625,994.5879364013672
