sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-4.8817;2.9291;9.4376;-5.4904;2.3417;7.7809;-1.2163;1.5819;1.2221;0.1575;-0.9021;-0.485;6.0;12.32;-35.42;-5.76;189.61;-15.94;40.99;5.0;995.9;39.85;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;14;2022-10-28 14:29:09:755
-5.3243;0.0179;9.3407;-4.6208;0.654;8.625;-0.9441;-0.7932;0.7842;0.7096;-0.3791;0.9194;5.0;32.08;-37.89;-17.29;205.98;3.96;29.46;5.0;995.81;37.83;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;514;2022-10-28 14:29:10:255
0.7696;0.9529;2.2301;-4.7278;1.8388;8.3927;0.8536;2.275;4.4613;0.4668;-0.2367;0.1673;5.0;43.56;-47.94;-20.1;210.89;-5.48;32.64;5.0;995.86;44.398;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;1014;2022-10-28 14:29:10:755
-7.3522;-0.1639;0.9793;-5.1075;2.5244;7.9819;1.801;-3.28;-2.0513;0.0499;0.7167;0.3783;4.0;65.06;-61.52;1.24;227.25;-14.92;32.61;5.0;995.82;54.27;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;1514;2022-10-28 14:29:11:255
-2.2756;-1.5335;8.1051;-4.0232;0.4883;8.93;1.4139;-1.4019;2.1489;2.3061;-1.042;-2.137;6.0;77.1;-66.94;3.28;224.6;1.65;31.66;5.0;995.77;55.558;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;2014;2022-10-28 14:29:11:755
-5.3833;0.0;5.5041;-3.4208;3.4026;8.5376;1.3797;-0.4552;3.3555;1.2442;0.2419;-0.126;6.0;101.38;19.8;-10.01;291.25;-20.3;21.83;5.0;995.74;41.946;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;2514;2022-10-28 14:29:12:255
-5.5986;3.2548;9.7199;-4.2422;2.837;8.3741;-2.0797;-0.0164;0.848;-0.5547;-0.9928;0.0821;5.0;88.71;22.86;-4.89;294.37;-16.82;26.87;5.0;995.75;44.844;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;3014;2022-10-28 14:29:12:755
-4.6863;4.2688;10.6155;-3.0895;1.9232;9.1064;-1.1899;-0.4467;0.5543;-0.0387;0.0792;0.1468;6.0;71.78;24.24;-10.65;294.98;-11.31;18.74;5.0;995.72;51.65;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;3514;2022-10-28 14:29:13:255
-4.2413;4.9582;8.3865;-4.8738;2.8132;8.0313;-0.1538;0.1247;0.3434;-0.7107;0.4034;0.717;6.0;69.68;15.68;-2.7;295.93;-20.36;30.97;5.0;995.66;46.99;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;4014;2022-10-28 14:29:13:755
-2.1428;4.2915;6.9248;-4.1277;3.3357;8.2465;0.4018;-3.2964;0.5632;1.0028;0.112;0.1386;7.0;65.85;-5.96;6.88;272.1;-19.89;26.59;5.0;995.65;44.515;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;4514;2022-10-28 14:29:14:255
-4.8494;4.9379;12.0003;-5.9288;4.6581;6.2707;0.7851;4.4551;9.2096;2.1319;0.3165;-0.6122;7.0;60.09;-7.95;2.44;275.24;-21.06;35.82;5.0;995.62;47.957;35.958683;-83.92331;;NaN;;;3870.9678;;0 / 16;5015;2022-10-28 14:29:14:756
