sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.1053;1.2796;9.8351;-1.5498;2.0859;9.4561;-0.9116;-0.2537;-0.1146;0.0355;-0.514;-0.3283;161.0;3.32;-31.88;-27.79;170.89;-15.81;13.7;2.0;988.44;67.943;35.95832;-83.92475;803.23;NaN;;;149.77419;;0 / 19;8;2022-10-23 22:40:00:282
1.3011;3.3135;8.7434;0.2769;1.4411;9.6962;0.4244;1.3504;0.4246;-0.638;-0.3683;0.1824;129.0;-3.62;-33.71;-28.67;166.74;-13.25;4.48;2.0;988.39;69.242;35.95828;-83.92447;761.81;NaN;;0.0;62.75874;;0 / 19;508;2022-10-23 22:40:00:782
1.2676;1.2377;9.2892;3.068;0.9488;9.2659;-3.0316;-0.7239;-0.8045;0.3991;-0.6425;0.1029;108.0;-11.08;-33.53;-30.06;166.73;-4.78;-6.79;2.0;988.46;69.264;35.95828;-83.92447;761.81;NaN;;0.0;62.75874;;0 / 19;1009;2022-10-23 22:40:01:283
0.9254;1.1001;10.5628;3.0143;1.3629;9.2318;2.1155;-2.9529;4.3981;0.1452;0.9331;-0.0633;71.0;-21.17;-37.52;-22.71;159.16;-7.99;-18.08;2.0;988.49;64.986;35.958256;-83.92448;803.42;NaN;;0.0;33.29788;;9 / 19;1508;2022-10-23 22:40:01:782
2.9183;0.4382;9.781;3.5122;0.8846;9.1133;-1.103;-1.6033;-0.306;1.0855;0.2885;1.4343;37.0;-25.88;-38.72;-20.34;155.52;-2.18;-20.68;2.0;988.45;72.347;35.958256;-83.92448;803.42;NaN;;0.0;33.29788;;9 / 19;2008;2022-10-23 22:40:02:282
2.1619;4.5954;3.7684;3.9891;5.1537;7.3278;1.2955;-2.4091;-2.9604;-1.8076;-1.0694;1.2065;37.0;-50.59;-27.45;-7.27;99.49;-31.7;-28.56;2.0;988.45;65.823;35.958252;-83.92446;809.95;NaN;;0.0;26.392265;;9 / 19;2510;2022-10-23 22:40:02:784
-0.9326;2.7018;9.9619;-0.9977;2.4264;9.4492;0.6811;-0.0658;-0.2224;0.3757;1.379;0.7244;48.0;-58.88;-12.88;-5.68;100.34;-12.07;-3.68;2.0;988.44;53.85;35.958252;-83.92446;809.95;NaN;;0.0;26.392265;;9 / 19;3009;2022-10-23 22:40:03:283
-2.581;2.9985;6.9655;-4.0818;4.505;7.6951;1.3819;-1.8897;-0.6345;0.4145;0.4141;-0.0068;44.0;-37.69;3.45;-48.26;74.58;-24.45;23.09;2.0;988.51;71.198;35.958256;-83.924446;805.49;NaN;;0.0;24.264261;;9 / 19;3509;2022-10-23 22:40:03:783
-3.4869;5.3303;4.6265;-4.0106;3.7464;8.1271;-0.4845;0.8414;0.3905;-0.1816;-0.4834;-0.3141;23.0;-20.59;-0.88;-56.76;70.97;-26.05;30.1;2.0;988.52;57.554;35.958256;-83.924446;805.49;NaN;;0.0;24.264261;;9 / 19;4009;2022-10-23 22:40:04:283
-4.7282;3.3733;9.0114;-5.0565;3.2482;7.7493;3.0821;0.4853;-2.4655;-1.0287;0.9086;-0.2575;14.0;-10.27;2.93;-55.93;63.62;-24.29;33.83;2.0;988.59;69.109;35.958263;-83.92442;796.18;NaN;;0.0;21.159746;;9 / 19;4509;2022-10-23 22:40:04:783
